1 rohit 1 10 10 10
rollno name semester sub1 sub2 sub3
3 ram 2 3 2 4
rollno name semester sub1 sub2 sub3
4 sita 3 2 1 3
rollno name semester sub1 sub2 sub3
5 omkar 2 3 5 6
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
rollno name semester sub1 sub2 sub3
